id,company,track,title,url,publish_date,authors,in_scope,scope_reason
ant-e-claude-code-auto-mode,anthropic,engineering,Claude Code auto mode: a safer way to skip permissions,https://www.anthropic.com/engineering/claude-code-auto-mode,2026-03-25,John Hughes,TRUE,
ant-e-harness-design-long-running-apps,anthropic,engineering,Harness design for long-running application development,https://www.anthropic.com/engineering/harness-design-long-running-apps,2026-03-24,Prithvi Rajasekaran,TRUE,
ant-e-eval-awareness-browsecomp,anthropic,engineering,Eval awareness in Claude Opus 4.6’s BrowseComp performance,https://www.anthropic.com/engineering/eval-awareness-browsecomp,2026-03-06,Russell Coleman,TRUE,
ant-e-building-c-compiler,anthropic,engineering,Building a C compiler with a team of parallel Claudes,https://www.anthropic.com/engineering/building-c-compiler,2026-02-05,Nicholas Carlini,TRUE,
ant-e-managed-agents,anthropic,engineering,Scaling Managed Agents: Decoupling the brain from the hands,https://www.anthropic.com/engineering/managed-agents,2026-02-04,Lance Martin|Gabe Cemaj|Michael Cohen,TRUE,
ant-e-infrastructure-noise,anthropic,engineering,Quantifying infrastructure noise in agentic coding evals,https://www.anthropic.com/engineering/infrastructure-noise,2026-02-03,Gian Segato,TRUE,
ant-e-ai-resistant-technical-evaluations,anthropic,engineering,Designing AI resistant technical evaluations,https://www.anthropic.com/engineering/AI-resistant-technical-evaluations,2026-01-21,Tristan Hume,TRUE,
ant-e-demystifying-evals-for-ai-agents,anthropic,engineering,Demystifying evals for AI agents,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,2026-01-09,Mikaela Grace|Jeremy Hadfield|Rodrigo Olivares|Jiri De Jonghe,TRUE,
ant-e-effective-harnesses-for-long-running-agents,anthropic,engineering,Effective harnesses for long-running agents,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,2025-11-26,Justin Young,TRUE,
ant-e-advanced-tool-use,anthropic,engineering,Introducing advanced tool use on the Claude Developer Platform,https://www.anthropic.com/engineering/advanced-tool-use,2025-11-24,Bin Wu|Artur Renault|Henry Tay|Jake Noble|Noah Picard|Sam Jiang,TRUE,
ant-e-code-execution-with-mcp,anthropic,engineering,Code execution with MCP: building more efficient AI agents,https://www.anthropic.com/engineering/code-execution-with-mcp,2025-11-04,,TRUE,
ant-e-claude-code-sandboxing,anthropic,engineering,Making Claude Code more secure and autonomous with sandboxing,https://www.anthropic.com/engineering/claude-code-sandboxing,2025-10-20,,TRUE,
ant-e-equipping-agents-for-the-real-world-with-agent-skills,anthropic,engineering,Equipping agents for the real world with Agent Skills,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,2025-10-16,Barry Zhang|Keith Lazuka|Mahesh Murag,TRUE,
ant-e-effective-context-engineering-for-ai-agents,anthropic,engineering,Effective context engineering for AI agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,2025-09-29,Prithvi Rajasekaran|Ethan Dixon|Carly Ryan|Jeremy Hadfield|Hannah Moran|Cal Rueb|Connor Jennings,TRUE,
ant-e-a-postmortem-of-three-recent-issues,anthropic,engineering,A postmortem of three recent issues,https://www.anthropic.com/engineering/a-postmortem-of-three-recent-issues,2025-09-17,Sam McAllister|Jonathan Gray|Kashyap Murali|Brennan Saeta|Oliver Rausch|Alex Palcuie|Trainium) also have different performance characteristics than CPUs,TRUE,
