id,company,track,title,url,publish_date,authors,in_scope,scope_reason
cog-e-devin-in-windsurf,cognition,engineering,Devin in Windsurf,https://cognition.ai/blog/devin-in-windsurf,2026-04-15,,FALSE,product-launch
cog-r-swe-check-10x-faster,cognition,research,Introducing SWE-Check: 10x Faster Bug Detection,https://cognition.ai/blog/swe-check-10x-faster,2026-04-14,,TRUE,
cog-e-new-self-serve-plans-for-devin,cognition,engineering,New self-serve plans for Devin,https://cognition.ai/blog/new-self-serve-plans-for-devin,2026-04-14,,FALSE,product-launch
cog-e-launching-in-japan,cognition,engineering,Launching in Japan with Takumi Masai,https://cognition.ai/blog/launching-in-japan,2026-04-09,,FALSE,company-news
cog-r-how-devin-is-modernizing-cobol-at-fortune-500-companies,cognition,research,How Devin Is Modernizing COBOL at Fortune 500 Companies,https://cognition.ai/blog/how-devin-is-modernizing-cobol-at-fortune-500-companies,2026-04-08,,FALSE,customer-story
cog-r-swe-1-6,cognition,research,Introducing SWE 1.6: Improving Model UX,https://cognition.ai/blog/swe-1-6,2026-04-07,,TRUE,
cog-e-devin-can-now-schedule-devins,cognition,engineering,Devin can now Schedule Devins,https://cognition.ai/blog/devin-can-now-schedule-devins,2026-03-20,,FALSE,product-launch
cog-e-devin-can-now-manage-devins,cognition,engineering,Devin can now Manage Devins,https://cognition.ai/blog/devin-can-now-manage-devins,2026-03-19,,FALSE,product-launch
cog-r-swe-1-6-preview,cognition,research,An Early Preview of SWE-1.6 and Research Update,https://cognition.ai/blog/swe-1-6-preview,2026-03-01,,TRUE,
cog-e-how-cognition-uses-devin-to-build-devin,cognition,engineering,How Cognition Uses Devin to Build Devin,https://cognition.ai/blog/how-cognition-uses-devin-to-build-devin,2026-02-27,,TRUE,
cog-e-cognition-for-government,cognition,engineering,Introducing Cognition for Government,https://cognition.ai/blog/cognition-for-government,2026-02-25,,FALSE,company-news
cog-e-introducing-devin-2-2,cognition,engineering,Introducing Devin 2.2,https://cognition.ai/blog/introducing-devin-2-2,2026-02-24,,FALSE,product-launch
cog-e-closing-the-agent-loop-devin-autofixes-review-comments,cognition,engineering,Closing the Agent Loop: Devin Autofixes Review Comments,https://cognition.ai/blog/closing-the-agent-loop-devin-autofixes-review-comments,2026-02-10,,TRUE,
cog-r-agent-trace,cognition,research,Agent Trace: Capturing the Context Graph of Code,https://cognition.ai/blog/agent-trace,2026-01-29,,TRUE,
cog-e-cognizant-cognition,cognition,engineering,Cognizant partners with Cognition to scale Devin and Windsurf across its engineering organization and global clients,https://cognition.ai/blog/cognizant-cognition,2026-01-28,,FALSE,company-news
cog-e-cognition-london,cognition,engineering,Devin crosses the pond: Cognition opens its London office,https://cognition.ai/blog/cognition-london,2026-01-28,,FALSE,company-news
cog-e-devin-review,cognition,engineering,Devin Review: AI to Stop Slop,https://cognition.ai/blog/devin-review,2026-01-21,,FALSE,product-launch
cog-r-infosys-cognition,cognition,research,Infosys partners with Cognition to expand engineering capacity and help scale its enterprise business,https://cognition.ai/blog/infosys-cognition,2026-01-07,,FALSE,company-news
cog-r-devin-annual-performance-review-2025,cognition,research,Devin's 2025 Performance Review: Learnings From 18 Months of Agents At Work,https://cognition.ai/blog/devin-annual-performance-review-2025,2025-11-14,,FALSE,company-news
