id,company,track,title,url,publish_date,authors,in_scope,scope_reason
dm-r-2017-deepminds-year-in-review,deepmind,research,2017 Deepminds Year In Review,https://deepmind.google/discover/blog/2017-deepminds-year-in-review/,,,TRUE,
dm-r-2023-a-year-of-groundbreaking-advances-in-ai-and-computing,deepmind,research,2023 A Year Of Groundbreaking Advances In Ai And Computing,https://deepmind.google/discover/blog/2023-a-year-of-groundbreaking-advances-in-ai-and-computing/,,,TRUE,
dm-r-a-catalogue-of-genetic-mutations-to-help-pinpoint-the-cause-of-diseases,deepmind,research,A Catalogue Of Genetic Mutations To Help Pinpoint The Cause Of Diseases,https://deepmind.google/discover/blog/a-catalogue-of-genetic-mutations-to-help-pinpoint-the-cause-of-diseases/,,,TRUE,
dm-r-a-generalist-agent,deepmind,research,A Generalist Agent,https://deepmind.google/discover/blog/a-generalist-agent/,,,TRUE,
dm-r-a-glimpse-of-the-next-generation-of-alphafold,deepmind,research,A Glimpse Of The Next Generation Of Alphafold,https://deepmind.google/discover/blog/a-glimpse-of-the-next-generation-of-alphafold/,,,TRUE,
dm-r-a-major-milestone-for-the-treatment-of-eye-disease,deepmind,research,A Major Milestone For The Treatment Of Eye Disease,https://deepmind.google/discover/blog/a-major-milestone-for-the-treatment-of-eye-disease/,,,TRUE,
dm-r-a-milestone-for-deepmind-health-and-streams,deepmind,research,A Milestone For Deepmind Health And Streams,https://deepmind.google/discover/blog/a-milestone-for-deepmind-health-and-streams/,,,TRUE,
dm-r-a-neural-approach-to-relational-reasoning,deepmind,research,A Neural Approach To Relational Reasoning,https://deepmind.google/discover/blog/a-neural-approach-to-relational-reasoning/,,,TRUE,
dm-r-a-new-generation-of-african-talent-brings-cutting-edge-ai-to-scientific-challenges,deepmind,research,A New Generation Of African Talent Brings Cutting Edge Ai To Scientific Challenges,https://deepmind.google/discover/blog/a-new-generation-of-african-talent-brings-cutting-edge-ai-to-scientific-challenges/,,,TRUE,
dm-r-a-new-model-and-dataset-for-long-range-memory,deepmind,research,A New Model And Dataset For Long Range Memory,https://deepmind.google/discover/blog/a-new-model-and-dataset-for-long-range-memory/,,,TRUE,
