id,company,track,title,url,publish_date,authors,in_scope,scope_reason
gr-r-exploring-quantum-neural-networks,google-research,research,Exploring Quantum Neural Networks,https://research.google/blog/exploring-quantum-neural-networks/,,,TRUE,
gr-r-google-ai-princeton-current-and-future-research,google-research,research,Google AI Princeton: Current and Future Research,https://research.google/blog/google-ai-princeton-current-and-future-research/,,,TRUE,
gr-r-adding-diversity-to-images-with-open-images-extended,google-research,research,Adding Diversity to Images with Open Images Extended,https://research.google/blog/adding-diversity-to-images-with-open-images-extended/,,,TRUE,
gr-r-tf-ranking-a-scalable-tensorflow-library-for-learning-to-rank,google-research,research,TF-Ranking: A Scalable TensorFlow Library for Learning-to-Rank,https://research.google/blog/tf-ranking-a-scalable-tensorflow-library-for-learning-to-rank/,,,TRUE,
gr-r-improving-the-effectiveness-of-diabetic-retinopathy-models,google-research,research,Improving the Effectiveness of Diabetic Retinopathy Models,https://research.google/blog/improving-the-effectiveness-of-diabetic-retinopathy-models/,,,TRUE,
gr-r-learning-to-predict-depth-on-the-pixel-3-phones,google-research,research,Learning to Predict Depth on the Pixel 3 Phones,https://research.google/blog/learning-to-predict-depth-on-the-pixel-3-phones/,,,TRUE,
gr-r-highlights-from-the-2018-google-phd-fellowship-summit,google-research,research,Highlights from the 2018 Google PhD Fellowship Summit,https://research.google/blog/highlights-from-the-2018-google-phd-fellowship-summit/,,,TRUE,
gr-r-google-at-neurips-2018,google-research,research,Google at NeurIPS 2018,https://research.google/blog/google-at-neurips-2018/,,,TRUE,
gr-r-grasp2vec-learning-object-representations-from-self-supervised-grasping,google-research,research,Grasp2Vec: Learning Object Representations from Self-Supervised Grasping,https://research.google/blog/grasp2vec-learning-object-representations-from-self-supervised-grasping/,,,TRUE,
gr-r-the-neurips-2018-test-of-time-award-the-trade-offs-of-large-scale-learning,google-research,research,The NeurIPS 2018 Test of Time Award: The Trade-Offs of Large Scale Learning,https://research.google/blog/the-neurips-2018-test-of-time-award-the-trade-offs-of-large-scale-learning/,,,TRUE,
gr-r-providing-gender-specific-translations-in-google-translate,google-research,research,Providing Gender-Specific Translations in Google Translate,https://research.google/blog/providing-gender-specific-translations-in-google-translate/,,,TRUE,
gr-r-top-shot-on-pixel-3,google-research,research,Top Shot on Pixel 3,https://research.google/blog/top-shot-on-pixel-3/,,,TRUE,
gr-r-astrophotography-with-night-sight-on-pixel-phones,google-research,research,Astrophotography with Night Sight on Pixel Phones,https://research.google/blog/astrophotography-with-night-sight-on-pixel-phones/,,,TRUE,
gr-r-new-solutions-for-quantum-gravity-with-tensorflow,google-research,research,New Solutions for Quantum Gravity with TensorFlow,https://research.google/blog/new-solutions-for-quantum-gravity-with-tensorflow/,,,TRUE,
gr-r-lessons-learned-from-developing-ml-for-healthcare,google-research,research,Lessons Learned from Developing ML for Healthcare,https://research.google/blog/lessons-learned-from-developing-ml-for-healthcare/,,,TRUE,
gr-r-albert-a-lite-bert-for-self-supervised-learning-of-language-representations,google-research,research,ALBERT: A Lite BERT for Self-Supervised Learning of Language Representations,https://research.google/blog/albert-a-lite-bert-for-self-supervised-learning-of-language-representations/,,,TRUE,
gr-r-fairness-indicators-scalable-infrastructure-for-fair-ml-systems,google-research,research,Fairness Indicators: Scalable Infrastructure for Fair ML Systems,https://research.google/blog/fairness-indicators-scalable-infrastructure-for-fair-ml-systems/,,,TRUE,
gr-r-recsim-a-configurable-simulation-platform-for-recommender-systems,google-research,research,RecSim: A Configurable Simulation Platform for Recommender Systems,https://research.google/blog/recsim-a-configurable-simulation-platform-for-recommender-systems/,,,TRUE,
gr-r-google-at-neurips-2019,google-research,research,Google at NeurIPS 2019,https://research.google/blog/google-at-neurips-2019/,,,TRUE,
gr-r-understanding-transfer-learning-for-medical-imaging,google-research,research,Understanding Transfer Learning for Medical Imaging,https://research.google/blog/understanding-transfer-learning-for-medical-imaging/,,,TRUE,
gr-r-improving-out-of-distribution-detection-in-machine-learning-models,google-research,research,Improving Out-of-Distribution Detection in Machine Learning Models,https://research.google/blog/improving-out-of-distribution-detection-in-machine-learning-models/,,,TRUE,
gr-r-the-on-device-machine-learning-behind-recorder,google-research,research,The On-Device Machine Learning Behind Recorder,https://research.google/blog/the-on-device-machine-learning-behind-recorder/,,,TRUE,
