id,company,track,title,url,publish_date,authors,in_scope,scope_reason
hf-r-ecom-rlve,huggingface,research,Ecom-RLVE: Adaptive Verifiable Environments for E-Commerce Conversational Agents,https://huggingface.co/blog/ecom-rlve,2026-04-16,,TRUE,
hf-r-transformers-to-mlx,huggingface,research,The PR you would have opened yourself,https://huggingface.co/blog/transformers-to-mlx,2026-04-16,,TRUE,
hf-r-train-multimodal-sentence-transformers,huggingface,research,Training and Finetuning Multimodal Embedding & Reranker Models with Sentence Transformers,https://huggingface.co/blog/train-multimodal-sentence-transformers,2026-04-16,,TRUE,
hf-r-waypoint-1-5,huggingface,research,Waypoint-1.5: Higher-Fidelity Interactive Worlds for Everyday GPUs,https://huggingface.co/blog/waypoint-1-5,2026-04-09,,TRUE,
hf-r-multimodal-sentence-transformers,huggingface,research,Multimodal Embedding & Reranker Models with Sentence Transformers,https://huggingface.co/blog/multimodal-sentence-transformers,2026-04-09,,TRUE,
hf-r-safetensors-joins-pytorch-foundation,huggingface,research,Safetensors is Joining the PyTorch Foundation,https://huggingface.co/blog/safetensors-joins-pytorch-foundation,2026-04-08,,TRUE,
hf-r-gemma4,huggingface,research,Welcome Gemma 4: Frontier multimodal intelligence on device,https://huggingface.co/blog/gemma4,2026-04-02,,TRUE,
hf-r-introducing-gradio-server,huggingface,research,Any Custom Frontend with Gradio's Backend,https://huggingface.co/blog/introducing-gradio-server,2026-04-01,,TRUE,
hf-r-trl-v1,huggingface,research,TRL v1.0: Post-Training Library Built to Move with the Field,https://huggingface.co/blog/trl-v1,2026-03-31,,TRUE,
hf-r-liberate-your-openclaw,huggingface,research,Liberate your OpenClaw,https://huggingface.co/blog/liberate-your-openclaw,2026-03-27,,TRUE,
hf-r-storage-buckets,huggingface,research,Introducing Storage Buckets on the Hugging Face Hub,https://huggingface.co/blog/storage-buckets,2026-03-10,,TRUE,
hf-r-async-rl-training-landscape,huggingface,research,Keep the Tokens Flowing: Lessons from 16 Open-Source RL Libraries,https://huggingface.co/blog/async-rl-training-landscape,2026-03-10,,TRUE,
hf-r-ulysses-sp,huggingface,research,Ulysses Sequence Parallelism: Training with Million-Token Contexts,https://huggingface.co/blog/ulysses-sp,2026-03-09,,TRUE,
hf-r-lerobot-release-v050,huggingface,research,LeRobot v0.5.0: Scaling Every Dimension,https://huggingface.co/blog/lerobot-release-v050,2026-03-09,,TRUE,
hf-r-modular-diffusers,huggingface,research,Introducing Modular Diffusers - Composable Building Blocks for Diffusion Pipelines,https://huggingface.co/blog/modular-diffusers,2026-03-05,,TRUE,
