id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
sk-r-ab-mcts,sakana,Japan,research,Inference-Time Scaling and Collective Intelligence for Frontier AI,https://sakana.ai/ab-mcts/,2025-07-01,,TRUE,
sk-r-ahc058,sakana,Japan,research,Sakana AI Agent Wins AtCoder Heuristic Contest (First AI to Place 1st),https://sakana.ai/ahc058/,2026-01-05,,TRUE,
sk-r-ai-scientist,sakana,Japan,research,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,https://sakana.ai/ai-scientist/,2024-08-13,,TRUE,
sk-r-ai-scientist-first-publication,sakana,Japan,research,The AI Scientist Generates its First Peer-Reviewed Scientific Publication,https://sakana.ai/ai-scientist-first-publication/,2025-03-12,,TRUE,
sk-r-ai-scientist-nature,sakana,Japan,research,"The AI Scientist: Towards Fully Automated AI Research, Now Published in <i>Nature</i>",https://sakana.ai/ai-scientist-nature/,2026-03-26,,TRUE,
sk-r-ale-bench,sakana,Japan,research,Towards Automating Long-Horizon Algorithm Engineering for Hard Optimization Problems,https://sakana.ai/ale-bench/,2025-06-17,,TRUE,
sk-r-asal,sakana,Japan,research,Automating the Search for Artificial Life with Foundation Models,https://sakana.ai/asal/,2024-12-24,,TRUE,
sk-r-citi,sakana,Japan,research,Announcing a Strategic Investment from Citi,https://sakana.ai/citi/,2026-02-24,,TRUE,
sk-r-company-info,sakana,Japan,research,About Sakana AI,https://sakana.ai/company-info/,,,TRUE,
sk-r-ctm,sakana,Japan,research,Introducing Continuous Thought Machines,https://sakana.ai/ctm/,2025-05-12,,TRUE,
sk-r-cycleqd,sakana,Japan,research,Population-based Model Merging via Quality Diversity,https://sakana.ai/cycleqd/,2024-12-03,,TRUE,
sk-r-daiwa-securities,sakana,Japan,research,Sakana AI and Daiwa Securities Group to Develop AI for Advanced Asset Consulting,https://sakana.ai/daiwa-securities/,2025-10-03,,TRUE,
sk-r-datadog,sakana,Japan,research,Announcing a Strategic Partnership with Datadog,https://sakana.ai/datadog/,2026-02-26,,TRUE,
sk-r-defense-challenge-2025,sakana,Japan,research,Sakana AI Wins Award at US-Japan Competition for Defense Innovation,https://sakana.ai/defense-challenge-2025/,2025-03-24,,TRUE,
sk-r-dgm,sakana,Japan,research,The Darwin Gödel Machine: AI that improves itself by rewriting its own code,https://sakana.ai/dgm/,2025-05-30,,TRUE,
sk-r-doc-to-lora,sakana,Japan,research,Instant LLM Updates with Doc-to-LoRA and Text-to-LoRA,https://sakana.ai/doc-to-lora/,2026-02-27,,TRUE,
sk-r-drope,sakana,Japan,research,Extending the Context of Pretrained LLMs by Dropping Their Positional Embeddings,https://sakana.ai/drope/,2026-01-12,,TRUE,
sk-r-drq,sakana,Japan,research,Digital Red Queen: Adversarial Program Evolution in Core War with LLMs,https://sakana.ai/drq/,2026-01-08,,TRUE,
sk-r-evolutionary-model-merge,sakana,Japan,research,Evolving New Foundation Models: Unleashing the Power of Automating Model Development,https://sakana.ai/evolutionary-model-merge/,2024-03-21,,TRUE,
sk-r-icfp-2025,sakana,Japan,research,ShinkaEvolve in Action: How a Human-AI Partnership Conquered a Coding Challenge,https://sakana.ai/icfp-2025/,2025-10-16,,TRUE,
sk-r-llm-squared,sakana,Japan,research,Can LLMs invent better ways to train LLMs?,https://sakana.ai/llm-squared/,2024-06-13,,TRUE,
