id,company,track,title,url,publish_date,authors,in_scope,dropped_in_v2,scope_reason,summary,contribution_type,technical_domain,techniques,focus_area,subcategory,year,md_anchor,notes
ant-e-claude-code-auto-mode,anthropic,engineering,Claude Code auto mode: a safer way to skip permissions,https://www.anthropic.com/engineering/claude-code-auto-mode,2026-03-25,John Hughes,TRUE,FALSE,,,empirical-study,agents,coding-agents,agentic-systems,coding-agents,2026,by-company/anthropic.md#ant-e-claude-code-auto-mode,
ant-e-harness-design-long-running-apps,anthropic,engineering,Harness design for long-running application development,https://www.anthropic.com/engineering/harness-design-long-running-apps,2026-03-24,Prithvi Rajasekaran,TRUE,FALSE,,,dataset-benchmark,applied-product,,harness-and-context-engineering,long-running-harnesses,2026,by-company/anthropic.md#ant-e-harness-design-long-running-apps,
ant-e-eval-awareness-browsecomp,anthropic,engineering,Eval awareness in Claude Opus 4.6’s BrowseComp performance,https://www.anthropic.com/engineering/eval-awareness-browsecomp,2026-03-06,Russell Coleman,TRUE,FALSE,,,dataset-benchmark,safety-alignment,BrowseComp|evals-eval-harness,alignment-and-safety,reward-hacking-and-sycophancy,2026,by-company/anthropic.md#ant-e-eval-awareness-browsecomp,
ant-e-building-c-compiler,anthropic,engineering,Building a C compiler with a team of parallel Claudes,https://www.anthropic.com/engineering/building-c-compiler,2026-02-05,Nicholas Carlini,TRUE,FALSE,,,empirical-study,applied-product,,harness-and-context-engineering,codex-and-sora-harness,2026,by-company/anthropic.md#ant-e-building-c-compiler,
ant-e-managed-agents,anthropic,engineering,Scaling Managed Agents: Decoupling the brain from the hands,https://www.anthropic.com/engineering/managed-agents,2026-02-04,Lance Martin|Gabe Cemaj|Michael Cohen,TRUE,FALSE,,,empirical-study,applied-product,,harness-and-context-engineering,fallback-harness,2026,by-company/anthropic.md#ant-e-managed-agents,
ant-e-infrastructure-noise,anthropic,engineering,Quantifying infrastructure noise in agentic coding evals,https://www.anthropic.com/engineering/infrastructure-noise,2026-02-03,Gian Segato,TRUE,FALSE,,,dataset-benchmark,agents,evals-eval-harness,evals-and-benchmarks,benchmark-critique,2026,by-company/anthropic.md#ant-e-infrastructure-noise,
ant-e-ai-resistant-technical-evaluations,anthropic,engineering,Designing AI resistant technical evaluations,https://www.anthropic.com/engineering/AI-resistant-technical-evaluations,2026-01-21,Tristan Hume,TRUE,FALSE,,,empirical-study,applied-product,,harness-and-context-engineering,fallback-harness,2026,by-company/anthropic.md#ant-e-ai-resistant-technical-evaluations,
ant-e-demystifying-evals-for-ai-agents,anthropic,engineering,Demystifying evals for AI agents,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,2026-01-09,Mikaela Grace|Jeremy Hadfield|Rodrigo Olivares|Jiri De Jonghe,TRUE,FALSE,,,dataset-benchmark,evals-benchmarks,evals-eval-harness,evals-and-benchmarks,eval-systems-and-harnesses,2026,by-company/anthropic.md#ant-e-demystifying-evals-for-ai-agents,
ant-e-effective-harnesses-for-long-running-agents,anthropic,engineering,Effective harnesses for long-running agents,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,2025-11-26,Justin Young,TRUE,FALSE,,,empirical-study,applied-product,,harness-and-context-engineering,long-running-harnesses,2025,by-company/anthropic.md#ant-e-effective-harnesses-for-long-running-agents,
ant-e-advanced-tool-use,anthropic,engineering,Introducing advanced tool use on the Claude Developer Platform,https://www.anthropic.com/engineering/advanced-tool-use,2025-11-24,Bin Wu|Artur Renault|Henry Tay|Jake Noble|Noah Picard|Sam Jiang,FALSE,FALSE,phase2-title-slug-launch-or-company-news,,,,,,,2025,by-company/anthropic.md#ant-e-advanced-tool-use,
ant-e-code-execution-with-mcp,anthropic,engineering,Code execution with MCP: building more efficient AI agents,https://www.anthropic.com/engineering/code-execution-with-mcp,2025-11-04,,TRUE,FALSE,,,empirical-study,applied-product,tool-use|MCP,harness-and-context-engineering,mcp-and-tool-protocols,2025,by-company/anthropic.md#ant-e-code-execution-with-mcp,
ant-e-claude-code-sandboxing,anthropic,engineering,Making Claude Code more secure and autonomous with sandboxing,https://www.anthropic.com/engineering/claude-code-sandboxing,2025-10-20,,TRUE,FALSE,,,empirical-study,agents,coding-agents,agentic-systems,coding-agents,2025,by-company/anthropic.md#ant-e-claude-code-sandboxing,
ant-e-equipping-agents-for-the-real-world-with-agent-skills,anthropic,engineering,Equipping agents for the real world with Agent Skills,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,2025-10-16,Barry Zhang|Keith Lazuka|Mahesh Murag,TRUE,FALSE,,,empirical-study,agents,,harness-and-context-engineering,agent-skills-and-prompt-libraries,2025,by-company/anthropic.md#ant-e-equipping-agents-for-the-real-world-with-agent-skills,
ant-e-effective-context-engineering-for-ai-agents,anthropic,engineering,Effective context engineering for AI agents,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,2025-09-29,Prithvi Rajasekaran|Ethan Dixon|Carly Ryan|Jeremy Hadfield|Hannah Moran|Cal Rueb|Connor Jennings,TRUE,FALSE,,,empirical-study,applied-product,context-engineering,harness-and-context-engineering,context-engineering,2025,by-company/anthropic.md#ant-e-effective-context-engineering-for-ai-agents,
ant-e-a-postmortem-of-three-recent-issues,anthropic,engineering,A postmortem of three recent issues,https://www.anthropic.com/engineering/a-postmortem-of-three-recent-issues,2025-09-17,Sam McAllister|Jonathan Gray|Kashyap Murali|Brennan Saeta|Oliver Rausch|Alex Palcuie,TRUE,FALSE,,,retrospective-case-study,applied-product,,harness-and-context-engineering,codex-and-sora-harness,2025,by-company/anthropic.md#ant-e-a-postmortem-of-three-recent-issues,
ant-e-writing-tools-for-agents,anthropic,engineering,Writing effective tools for AI agents—using AI agents,https://www.anthropic.com/engineering/writing-tools-for-agents,2025-09-11,Zachary Witten|Daniel Jiang|Sami Al-Sheikh|Matt Bell|Maggie Vo)|MCP (Theodora Chu|David Soria Parra|Adam Jones),TRUE,FALSE,,,empirical-study,applied-product,,agentic-systems,tool-use-and-function-calling,2025,by-company/anthropic.md#ant-e-writing-tools-for-agents,
ant-e-desktop-extensions,anthropic,engineering,Claude Desktop Extensions: One-click MCP server installation for Claude Desktop,https://www.anthropic.com/engineering/desktop-extensions,2025-06-26,,TRUE,FALSE,,,empirical-study,applied-product,tool-use|MCP,harness-and-context-engineering,mcp-and-tool-protocols,2025,by-company/anthropic.md#ant-e-desktop-extensions,
ant-e-multi-agent-research-system,anthropic,engineering,How we built our multi-agent research system,https://www.anthropic.com/engineering/multi-agent-research-system,2025-06-13,Jeremy Hadfield|Barry Zhang|Kenneth Lien|Florian Scholz|Jeremy Fox|Daniel Ford,TRUE,FALSE,,,retrospective-case-study,agents,multi-agent,agentic-systems,multi-agent-orchestration,2025,by-company/anthropic.md#ant-e-multi-agent-research-system,
ant-e-claude-think-tool,anthropic,engineering,"The ""think"" tool: Enabling Claude to stop and think",https://www.anthropic.com/engineering/claude-think-tool,2025-03-20,,TRUE,FALSE,,,empirical-study,applied-product,,harness-and-context-engineering,scaffolding-patterns,2025,by-company/anthropic.md#ant-e-claude-think-tool,
ant-e-swe-bench-sonnet,anthropic,engineering,Claude SWE-Bench Performance,https://www.anthropic.com/engineering/swe-bench-sonnet,2025-01-06,,TRUE,FALSE,,,dataset-benchmark,evals-benchmarks,coding-agents|SWE-bench,evals-and-benchmarks,coding-evals,2025,by-company/anthropic.md#ant-e-swe-bench-sonnet,
ant-e-building-effective-agents,anthropic,engineering,Building Effective AI Agents,https://www.anthropic.com/engineering/building-effective-agents,2024-12-19,Erik S.|Barry Zhang,TRUE,FALSE,,,empirical-study,applied-product,,agentic-systems,agent-design-and-patterns,2024,by-company/anthropic.md#ant-e-building-effective-agents,
ant-e-contextual-retrieval,anthropic,engineering,Contextual Retrieval in AI Systems,https://www.anthropic.com/engineering/contextual-retrieval,2024-09-19,,TRUE,FALSE,,,empirical-study,applied-product,,harness-and-context-engineering,context-engineering,2024,by-company/anthropic.md#ant-e-contextual-retrieval,
